percent,value
27.2,271999.728
27.3,272999.727
27.4,273999.72599999997
27.5,274999.72500000003
27.6,275999.72400000005
27.7,276999.72299999994
27.8,277999.722
27.9,278999.72099999996
28.0,279999.72000000003
28.1,280999.71900000004
28.2,281999.718
28.3,282999.717
28.4,283999.71599999996
28.5,284999.71499999997
28.6,285999.71400000004
28.7,286999.713
28.8,287999.71200000006
28.9,288999.71099999995
29.0,289999.70999999996
29.1,290999.70900000003
29.2,291999.708
29.3,292999.707
29.4,293999.706
29.5,294999.70499999996
29.6,295999.704
29.7,296999.703
29.8,297999.702
29.9,298999.701
30.0,299999.7
30.1,300999.69899999996
30.2,301999.698
30.3,302999.697
30.4,303999.696
30.5,304999.695
30.6,305999.694
30.7,306999.69299999997
30.8,307999.692
30.9,308999.691
31.0,309999.69
31.1,310999.689
31.2,311999.688
31.3,312999.687
31.4,313999.686
31.5,314999.685
31.6,315999.684
31.7,316999.683
31.8,317999.68200000003
31.9,318999.681
32.0,319999.68
32.1,320999.679
32.2,321999.678
32.3,322999.67699999997
32.4,323999.67600000004
32.5,324999.675
32.6,325999.674
32.7,326999.673
32.8,327999.67199999996
32.9,328999.671
33.0,329999.67000000004
33.1,330999.669
33.2,331999.668
33.3,332999.66699999996
33.4,333999.66599999997
33.5,334999.66500000004
33.6,335999.66400000005
33.7,336999.663
33.8,337999.66199999995
33.9,338999.66099999996
34.0,339999.66000000003
34.1,340999.65900000004
34.2,341999.65800000005
34.3,342999.65699999995
34.4,343999.65599999996
34.5,344999.65499999997
34.6,345999.65400000004
34.7,346999.65300000005
34.8,347999.652
34.9,348999.65099999995
35.0,349999.64999999997
35.1,350999.64900000003
35.2,351999.64800000004
35.3,352999.647
35.4,353999.646
35.5,354999.64499999996
35.6,355999.64400000003
35.7,356999.64300000004
35.8,357999.642
35.9,358999.641
36.0,359999.64
36.1,360999.63899999997
36.2,361999.63800000004
36.3,362999.637
36.4,363999.636
36.5,364999.635
36.6,365999.634
36.7,366999.63300000003
36.8,367999.632
36.9,368999.631
37.0,369999.63
37.1,370999.629
37.2,371999.628
37.3,372999.627
37.4,373999.626
37.5,374999.625
37.6,375999.624
37.7,376999.623
37.8,377999.622
37.9,378999.621
38.0,379999.62
38.1,380999.619
38.2,381999.618
38.3,382999.61699999997
38.4,383999.616
38.5,384999.615
38.6,385999.614
38.7,386999.613
38.8,387999.61199999996
38.9,388999.61100000003
39.0,389999.61
39.1,390999.609
39.2,391999.608
39.3,392999.60699999996
39.4,393999.60599999997
39.5,394999.60500000004
39.6,395999.604
39.7,396999.603
39.8,397999.60199999996
39.9,398999.60099999997
40.0,399999.60000000003
40.1,400999.59900000005
40.2,401999.598
40.3,402999.59699999995
40.4,403999.59599999996
40.5,404999.59500000003
40.6,405999.59400000004
40.7,406999.59300000005
40.8,407999.59199999995
40.9,408999.59099999996
41.0,409999.58999999997
41.1,410999.58900000004
41.2,411999.58800000005
41.3,412999.587
41.4,413999.58599999995
41.5,414999.58499999996
41.6,415999.58400000003
41.7,416999.58300000004
41.8,417999.582
41.9,418999.581
42.0,419999.57999999996
42.1,420999.579
42.2,421999.57800000004
42.3,422999.577
42.4,423999.576
42.5,424999.575
42.6,425999.57399999996
42.7,426999.57300000003
42.8,427999.572
42.9,428999.571
43.0,429999.57
43.1,430999.569
43.2,431999.568
43.3,432999.567
43.4,433999.566
43.5,434999.565
43.6,435999.564
43.7,436999.5630000001
43.8,437999.5619999999
43.9,438999.561
44.0,439999.56
44.1,440999.559
44.2,441999.558
44.3,442999.557
44.4,443999.556
44.5,444999.555
44.6,445999.554
44.7,446999.553
44.8,447999.55199999997
44.9,448999.55100000004
45.0,449999.55
45.1,450999.549
45.2,451999.548
45.3,452999.54699999996
45.4,453999.546
45.5,454999.54500000004
45.6,455999.544
45.7,456999.543
45.8,457999.54199999996
45.9,458999.54099999997
46.0,459999.54000000004
46.1,460999.53900000005
46.2,461999.538
46.3,462999.53699999995
46.4,463999.53599999996
46.5,464999.53500000003
46.6,465999.53400000004
46.7,466999.53300000005
46.8,467999.53199999995
46.9,468999.53099999996
47.0,469999.52999999997
47.1,470999.52900000004
47.2,471999.52800000005
47.3,472999.527
47.4,473999.52599999995
47.5,474999.52499999997
47.6,475999.52400000003
47.7,476999.52300000004
47.8,477999.522
47.9,478999.521
48.0,479999.51999999996
48.1,480999.51900000003
48.2,481999.51800000004
48.3,482999.517
48.4,483999.516
48.5,484999.515
48.6,485999.51399999997
48.7,486999.51300000004
48.8,487999.512
48.9,488999.511
49.0,489999.51
49.1,490999.509
49.2,491999.50800000003
49.3,492999.507
49.4,493999.506
49.5,494999.505
49.6,495999.504
49.7,496999.503
49.8,497999.502
49.9,498999.501
50.0,499999.5
50.1,500999.499
50.2,501999.498
50.3,502999.497
50.4,503999.496
50.5,504999.495
50.6,505999.494
50.7,506999.493
50.8,507999.492
50.9,508999.491
51.0,509999.49
51.1,510999.489
51.2,511999.488
51.3,512999.487
51.4,513999.48600000003
51.5,514999.485
51.6,515999.484
51.7,516999.483
51.8,517999.482
51.9,518999.481
52.0,519999.48000000004
52.1,520999.479
52.2,521999.478
52.3,522999.477
52.4,523999.476
52.5,524999.475
52.6,525999.474
52.7,526999.473
52.8,527999.4720000001
52.9,528999.471
53.0,529999.47
53.1,530999.469
53.2,531999.468
53.3,532999.467
53.4,533999.466
53.5,534999.4650000001
53.6,535999.464
53.7,536999.463
53.8,537999.4619999999
53.9,538999.461
54.0,539999.4600000001
54.1,540999.459
54.2,541999.458
54.3,542999.4569999999
54.4,543999.456
54.5,544999.4550000001
54.6,545999.454
54.7,546999.4530000001
54.8,547999.4519999999
54.9,548999.4509999999
55.0,549999.4500000001
55.1,550999.449
55.2,551999.4480000001
55.3,552999.4469999999
55.4,553999.4459999999
55.5,554999.4450000001
55.6,555999.444
55.7,556999.4430000001
55.8,557999.4419999999
55.9,558999.441
56.0,559999.4400000001
56.1,560999.439
56.2,561999.4380000001
56.3,562999.4369999999
56.4,563999.436
56.5,564999.4349999999
56.6,565999.434
56.7,566999.4330000001
56.8,567999.4319999999
56.9,568999.431
57.0,569999.4299999999
57.1,570999.4290000001
57.2,571999.4280000001
57.3,572999.4269999999
57.4,573999.426
57.5,574999.4249999999
57.6,575999.4240000001
57.7,576999.4230000001
57.8,577999.4219999999
57.9,578999.421
58.0,579999.4199999999
58.1,580999.419
58.2,581999.4180000001
58.3,582999.417
58.4,583999.416
58.5,584999.4149999999
58.6,585999.414
58.7,586999.4130000001
58.8,587999.412
58.9,588999.411
59.0,589999.4099999999
59.1,590999.409
59.2,591999.408
59.3,592999.407
59.4,593999.406
59.5,594999.405
59.6,595999.404
59.7,596999.4029999999
59.8,597999.402
59.9,598999.401
60.0,599999.4
60.1,600999.399
60.2,601999.3979999999
60.3,602999.397
60.4,603999.396
60.5,604999.395
60.6,605999.394
60.7,606999.393
60.8,607999.392
60.9,608999.391
61.0,609999.39
61.1,610999.389
61.2,611999.388
61.3,612999.387
61.4,613999.3859999999
61.5,614999.385
61.6,615999.384
61.7,616999.383
61.8,617999.382
61.9,618999.381
62.0,619999.38
62.1,620999.379
62.2,621999.378
62.3,622999.377
62.4,623999.376
62.5,624999.375
62.6,625999.374
62.7,626999.373
62.8,627999.372
62.9,628999.371
63.0,629999.37
63.1,630999.369
63.2,631999.368
63.3,632999.367
63.4,633999.366
63.5,634999.365
63.6,635999.3640000001
63.7,636999.363
63.8,637999.362
63.9,638999.361
64.0,639999.36
64.1,640999.3589999999
64.2,641999.358
64.3,642999.357
64.4,643999.356
64.5,644999.355
64.6,645999.3539999999
64.7,646999.353
64.8,647999.3520000001
64.9,648999.351
65.0,649999.35
65.1,650999.3489999999
65.2,651999.348
65.3,652999.3470000001
65.4,653999.346
65.5,654999.345
65.6,655999.3439999999
65.7,656999.343
65.8,657999.342
65.9,658999.341
66.0,659999.3400000001
66.1,660999.3389999999
66.2,661999.338
66.3,662999.3369999999
66.4,663999.336
66.5,664999.3350000001
66.6,665999.3339999999
66.7,666999.333
66.8,667999.3319999999
66.9,668999.331
67.0,669999.3300000001
67.1,670999.3289999999
67.2,671999.3280000001
67.3,672999.3269999999
67.4,673999.326
67.5,674999.3250000001
67.6,675999.3239999999
67.7,676999.3230000001
67.8,677999.3219999999
67.9,678999.321
68.0,679999.3200000001
68.1,680999.3189999999
68.2,681999.3180000001
68.3,682999.3169999999
68.4,683999.3160000001
68.5,684999.3150000001
68.6,685999.3139999999
68.7,686999.3130000001
68.8,687999.3119999999
68.9,688999.3110000001
69.0,689999.3099999999
69.1,690999.3089999999
69.2,691999.3080000001
69.3,692999.3069999999
69.4,693999.3060000001
69.5,694999.3049999999
69.6,695999.304
69.7,696999.3030000001
69.8,697999.3019999999
69.9,698999.3010000001
70.0,699999.2999999999
70.1,700999.299
70.2,701999.2980000001
70.3,702999.2969999999
70.4,703999.2960000001
70.5,704999.2949999999
70.6,705999.294
70.7,706999.2930000001
70.8,707999.292
70.9,708999.2910000001
71.0,709999.2899999999
71.1,710999.289
71.2,711999.2880000001
71.3,712999.287
71.4,713999.2860000001
71.5,714999.2849999999
71.6,715999.284
71.7,716999.283
71.8,717999.282
71.9,718999.2810000001
72.0,719999.28
72.1,720999.279
72.2,721999.2779999999
72.3,722999.277
72.4,723999.2760000001
72.5,724999.275
72.6,725999.274
72.7,726999.2729999999
72.8,727999.272
72.9,728999.2710000001
73.0,729999.27
73.1,730999.269
73.2,731999.268
73.3,732999.267
73.4,733999.2660000001
73.5,734999.265
73.6,735999.264
73.7,736999.263
73.8,737999.262
73.9,738999.261
74.0,739999.26
74.1,740999.259
74.2,741999.258
74.3,742999.257
74.4,743999.256
74.5,744999.255
74.6,745999.254
74.7,746999.253
74.8,747999.252
74.9,748999.2510000002
75.0,749999.25
75.1,750999.2489999998
75.2,751999.248
75.3,752999.247
75.4,753999.246
75.5,754999.245
75.6,755999.244
75.7,756999.243
75.8,757999.242
75.9,758999.241
76.0,759999.24
76.1,760999.239
